Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   201152     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.00     0.00   101960     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.00     0.00    43266     0.00     0.00  std::vector<float, std::allocator<float> >::operator[](unsigned long)
  0.00      0.00     0.00     8442     0.00     0.00  std::remove_reference<float&>::type&& std::move<float&>(float&)
  0.00      0.00     0.00     4469     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<int>::__value, double>::__type std::floor<int>(int)
  0.00      0.00     0.00     4280     0.00     0.00  float const& std::forward<float const&>(std::remove_reference<float const&>::type&)
  0.00      0.00     0.00     3357     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00     2812     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<float> >, std::is_move_constructible<float>, std::is_move_assignable<float> >::value, void>::type std::swap<float>(float&, float&)
  0.00      0.00     0.00     2688     0.00     0.00  maxheap::get_size()
  0.00      0.00     0.00     2688     0.00     0.00  minheap::get_size()
  0.00      0.00     0.00     2570     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00     2271     0.00     0.00  minheap::parent(int)
  0.00      0.00     0.00     2245     0.00     0.00  minheap::left(int)
  0.00      0.00     0.00     2245     0.00     0.00  minheap::right(int)
  0.00      0.00     0.00     2198     0.00     0.00  maxheap::parent(int)
  0.00      0.00     0.00     2116     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  0.00      0.00     0.00     2116     0.00     0.00  void std::allocator_traits<std::allocator<float> >::construct<float, float const&>(std::allocator<float>&, float*, float const&)
  0.00      0.00     0.00     2116     0.00     0.00  std::vector<float, std::allocator<float> >::push_back(float const&)
  0.00      0.00     0.00     1680     0.00     0.00  maxheap::get_max()
  0.00      0.00     0.00     1456     0.00     0.00  minheap::get_min()
  0.00      0.00     0.00     1339     0.00     0.00  maxheap::left(int)
  0.00      0.00     0.00     1339     0.00     0.00  maxheap::right(int)
  0.00      0.00     0.00     1089     0.00     0.00  minheap::insert(float)
  0.00      0.00     0.00     1027     0.00     0.00  maxheap::insert(float)
  0.00      0.00     0.00      988     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      0.00     0.00      906     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.00     0.00      772     0.00     0.00  void __gnu_cxx::new_allocator<float>::destroy<float>(float*)
  0.00      0.00     0.00      772     0.00     0.00  void std::allocator_traits<std::allocator<float> >::destroy<float>(std::allocator<float>&, float*)
  0.00      0.00     0.00      772     0.00     0.00  std::vector<float, std::allocator<float> >::pop_back()
  0.00      0.00     0.00      448     0.00     0.00  Stats::calculate_std()
  0.00      0.00     0.00      448     0.00     0.00  Stats::calculate_mean(double)
  0.00      0.00     0.00      448     0.00     0.00  Stats::calculate_firstq()
  0.00      0.00     0.00      448     0.00     0.00  Stats::calculate_median()
  0.00      0.00     0.00      448     0.00     0.00  Stats::calculate_thirdq()
  0.00      0.00     0.00      448     0.00     0.00  manager::add_element(double&)
  0.00      0.00     0.00      448     0.00     0.00  manager::add_element_heap_firstq(double&)
  0.00      0.00     0.00      448     0.00     0.00  manager::add_element_heap_median(double&)
  0.00      0.00     0.00      448     0.00     0.00  manager::add_element_heap_thirdq(double&)
  0.00      0.00     0.00      448     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double const&>(double*, double const&)
  0.00      0.00     0.00      448     0.00     0.00  float __gnu_cxx::__stoa<float, float, char>(float (*)(char const*, char**), char const*, char const*, unsigned long*)
  0.00      0.00     0.00      448     0.00     0.00  void std::allocator_traits<std::allocator<double> >::construct<double, double const&>(std::allocator<double>&, double*, double const&)
  0.00      0.00     0.00      448     0.00     0.00  std::vector<double, std::allocator<double> >::push_back(double const&)
  0.00      0.00     0.00      448     0.00     0.00  std::__cxx11::stof(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*)
  0.00      0.00     0.00      448     0.00     0.00  __gnu_cxx::__stoa<float, float, char>(float (*)(char const*, char**), char const*, char const*, unsigned long*)::_Range_chk::_S_chk(float, std::integral_constant<bool, false>)
  0.00      0.00     0.00      448     0.00     0.00  __gnu_cxx::__stoa<float, float, char>(float (*)(char const*, char**), char const*, char const*, unsigned long*)::_Save_errno::_Save_errno()
  0.00      0.00     0.00      448     0.00     0.00  __gnu_cxx::__stoa<float, float, char>(float (*)(char const*, char**), char const*, char const*, unsigned long*)::_Save_errno::~_Save_errno()
  0.00      0.00     0.00      417     0.00     0.00  minheap::extract_min()
  0.00      0.00     0.00      417     0.00     0.00  minheap::min_heapify(int)
  0.00      0.00     0.00      355     0.00     0.00  maxheap::extract_max()
  0.00      0.00     0.00      355     0.00     0.00  maxheap::max_heapify(int)
  0.00      0.00     0.00      324     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      0.00     0.00      320     0.00     0.00  Stats::print()
  0.00      0.00     0.00      320     0.00     0.00  Stats::write()
  0.00      0.00     0.00      216     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.00     0.00      162     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      0.00     0.00      128     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00      114     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.00     0.00      108     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      0.00     0.00      108     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      108     0.00     0.00  std::vector<float, std::allocator<float> >::max_size() const
  0.00      0.00     0.00      108     0.00     0.00  std::allocator_traits<std::allocator<float> >::max_size(std::allocator<float> const&)
  0.00      0.00     0.00      108     0.00     0.00  std::vector<float, std::allocator<float> >::_S_max_size(std::allocator<float> const&)
  0.00      0.00     0.00      108     0.00     0.00  std::vector<float, std::allocator<float> >::_S_relocate(float*, float*, float*, std::allocator<float>&)
  0.00      0.00     0.00      108     0.00     0.00  std::vector<float, std::allocator<float> >::_S_do_relocate(float*, float*, float*, std::allocator<float>&, std::integral_constant<bool, true>)
  0.00      0.00     0.00      108     0.00     0.00  std::vector<float, std::allocator<float> >::_S_use_relocate()
  0.00      0.00     0.00      108     0.00     0.00  std::vector<float, std::allocator<float> >::_S_nothrow_relocate(std::integral_constant<bool, true>)
  0.00      0.00     0.00      108     0.00     0.00  float* std::__relocate_a<float*, float*, std::allocator<float> >(float*, float*, float*, std::allocator<float>&)
  0.00      0.00     0.00      108     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<float, void>::value, float*>::type std::__relocate_a_1<float, float>(float*, float*, float*, std::allocator<float>&)
  0.00      0.00     0.00       64     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.00     0.00       60     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned long)
  0.00      0.00     0.00       60     0.00     0.00  double* std::__niter_base<double*>(double*)
  0.00      0.00     0.00       54     0.00     0.00  __gnu_cxx::new_allocator<float>::deallocate(float*, unsigned long)
  0.00      0.00     0.00       54     0.00     0.00  __gnu_cxx::new_allocator<float>::allocate(unsigned long, void const*)
